Time_ms,Green_lp,Red_lp,IR_lp,Off_lp,,,
1016.346,1996.5423,3210.144449,2940.430292,1650.895501,,,
1024.433,1996.879412,3210.496136,2941.144376,1651.068285,,,
1032.123,1997.224089,3210.897416,2941.80758,1651.202031,,,
1040.21,1997.606579,3211.381706,2942.490255,1651.306386,,,
1048.297,1998.008656,3211.935535,2943.155348,1651.359831,,,
1056.384,1998.423304,3212.543439,2943.803843,1651.362425,,,
1064.104,1998.826234,3213.16584,2944.404978,1651.31343,,,
1072.191,1999.248696,3213.84721,2945.010879,1651.206203,,,
1080.278,1999.664329,3214.539322,2945.588694,1651.04916,,,
1088.365,2000.062406,3215.220263,2946.124886,1650.842003,,,
1096.085,2000.418615,3215.839457,2946.591199,1650.610249,,,
1104.172,2000.756073,3216.43232,2947.0169,1650.339814,,,
1112.259,2001.044483,3216.941012,2947.359731,1650.053672,,,
1120.346,2001.277912,3217.35161,2947.610724,1649.765091,,,
1128.433,2001.438024,3217.629363,2947.73912,1649.488121,,,
1136.123,2001.519779,3217.765785,2947.742402,1649.246148,,,
1144.21,2001.521032,3217.757224,2947.60166,1649.025096,,,
1152.297,2001.4256,3217.578185,2947.294293,1648.848926,,,
1160.384,2001.237354,3217.238866,2946.825025,1648.719527,,,
1168.104,2000.957536,3216.74632,2946.200146,1648.648469,,,
1176.191,2000.571227,3216.07787,2945.378628,1648.622986,,,
1184.278,2000.088424,3215.255928,2944.382081,1648.646712,,,
1192.365,1999.512524,3214.291202,2943.214177,1648.714411,,,
1200.452,1998.859833,3213.213179,2941.903037,1648.814023,,,
1208.172,1998.166888,3212.085938,2940.519425,1648.932018,,,
1216.259,1997.387203,3210.834824,2938.967456,1649.065612,,,
1224.346,1996.563155,3209.531565,2937.330899,1649.198372,,,
1232.433,1995.708326,3208.200831,2935.637405,1649.316826,,,
1240.123,1994.881276,3206.932069,2934.004245,1649.408618,,,
1248.21,1994.007775,3205.617509,2932.290698,1649.469405,,,
1256.297,1993.142182,3204.340819,2930.609751,1649.49091,,,
1264.384,1992.29344,3203.119726,2928.987863,1649.467351,,,
1272.104,1991.507171,3202.023842,2927.522986,1649.398675,,,
1280.191,1990.710201,3200.951204,2926.08496,1649.28444,,,
1288.278,1989.947772,3199.976783,2924.779837,1649.124348,,,
1296.365,1989.217064,3199.09538,2923.60652,1648.9299,,,
1304.452,1988.518541,3198.312014,2922.57679,1648.70802,,,
1312.172,1987.882348,3197.661792,2921.741119,1648.479664,,,
1320.259,1987.242969,3197.069676,2921.002918,1648.235248,,,
1328.346,1986.634,3196.578546,2920.422437,1647.997817,,,
1336.433,1986.051833,3196.17357,2919.976949,1647.779181,,,
1344.123,1985.524247,3195.866046,2919.673827,1647.598959,,,
1352.21,1984.999782,3195.621483,2919.474401,1647.450446,,,
1360.297,1984.506555,3195.445406,2919.374427,1647.347778,,,
1368.384,1984.053302,3195.340145,2919.370467,1647.303277,,,
1376.471,1983.641591,3195.292775,2919.437226,1647.314392,,,
1384.191,1983.293012,3195.297546,2919.554808,1647.377902,,,
1392.278,1982.98288,3195.35095,2919.720734,1647.499425,,,
1400.365,1982.728909,3195.443607,2919.913192,1647.667029,,,
1408.452,1982.54308,3195.573068,2920.121102,1647.877974,,,
1416.172,1982.426524,3195.720955,2920.321822,1648.107081,,,
1424.259,1982.371922,3195.895125,2920.526054,1648.367645,,,
1432.346,1982.38904,3196.080752,2920.716368,1648.638462,,,
1440.433,1982.470032,3196.268958,2920.890091,1648.909301,,,
1448.123,1982.610375,3196.442091,2921.036422,1649.157911,,,
1456.21,1982.812667,3196.610451,2921.173566,1649.403583,,,
1464.297,1983.067011,3196.75685,2921.296031,1649.627071,,,
1472.384,1983.366379,3196.872617,2921.409157,1649.82315,,,
1480.471,1983.698292,3196.955113,2921.519956,1649.992347,,,
1488.191,1984.039695,3196.994714,2921.630511,1650.125222,,,
1496.278,1984.410898,3196.996603,2921.758007,1650.238224,,,
1504.365,1984.787467,3196.956224,2921.903926,1650.325606,,,
1512.452,1985.159448,3196.873221,2922.075181,1650.389586,,,
1520.172,1985.503909,3196.761587,2922.262804,1650.434367,,,
1528.259,1985.844313,3196.611191,2922.490683,1650.465936,,,
1536.346,1986.160756,3196.438219,2922.746547,1650.488166,,,
1544.433,1986.449053,3196.250485,2923.029091,1650.504933,,,
1552.489,1986.704442,3196.059626,2923.334055,1650.520726,,,
1560.209,1986.922748,3195.882978,2923.641158,1650.538427,,,
1568.296,1987.120946,3195.717923,2923.974112,1650.563785,,,
1576.383,1987.294697,3195.582687,2924.310328,1650.598215,,,
1584.47,1987.447519,3195.487934,2924.643739,1650.643886,,,
1592.19,1987.5781,3195.44781,2924.953086,1650.700077,,,
1600.277,1987.705758,3195.45957,2925.264796,1650.771089,,,
1608.364,1987.828765,3195.541253,2925.558925,1650.856084,,,
1616.451,1987.952841,3195.690506,2925.836359,1650.95259,,,
1624.171,1988.075866,3195.899599,2926.086431,1651.054142,,,
1632.258,1988.212851,3196.192256,2926.335943,1651.168131,,,
1640.345,1988.35871,3196.552546,2926.578855,1651.286281,,,
1648.432,1988.514483,3196.986123,2926.82211,1651.404982,,,
