Column 1,Column 2,Column 3
-1.274515,-31.373111,0.001268
-1.310865,-31.452018,0.000887
-1.329927,-31.373111,-0.000666
-1.400296,-31.373111,-0.002452
-1.384713,-31.452018,-0.004361
-1.346344,-31.373111,-0.00692
-1.353807,-31.452018,-0.009899
-1.366941,-31.373111,-0.013105
-1.402854,-31.452018,-0.016385
-1.4329,-31.452018,-0.020236
-1.405712,-31.373111,-0.024404
-1.424309,-31.373111,-0.027451
-1.368586,-31.373111,-0.028926
-1.387317,-31.373111,-0.029151
-1.423094,-31.452018,-0.029028
-1.458715,-31.452018,-0.029878
-1.47134,-31.452018,-0.032062
-1.438221,-31.373111,-0.034584
-1.428069,-31.373111,-0.036051
-1.492185,-31.452018,-0.036663
-1.493214,-31.373111,-0.03722
-1.517071,-31.294203,-0.036482
-1.466586,-31.373111,-0.033542
-1.456271,-31.373111,-0.029623
-1.48025,-31.452018,-0.026312
-1.509832,-31.373111,-0.024187
-1.533573,-31.373111,-0.022419
-1.494393,-31.373111,-0.020364
-1.523887,-31.294203,-0.017535
-1.587512,-31.373111,-0.013586
-1.513818,-31.373111,-0.009519
-1.468968,-31.452018,-0.006723
-1.458554,-31.373111,-0.005605
-1.510987,-31.452018,-0.005807
-1.494671,-31.373111,-0.007015
-1.398467,-31.452018,-0.008954
-1.405434,-31.373111,-0.011394
-1.400943,-31.373111,-0.013524
-1.436433,-31.373111,-0.014732
-1.517451,-31.452018,-0.015814
-1.546734,-31.452018,-0.017999
-1.467391,-31.452018,-0.021578
-1.445466,-31.452018,-0.026113
-1.486435,-31.452018,-0.031238
-1.498675,-31.452018,-0.036655
-1.505144,-31.452018,-0.042127
-1.522997,-31.373111,-0.046851
-1.512215,-31.452018,-0.050239
-1.450074,-31.373111,-0.052496
-1.359627,-31.452018,-0.053818
-1.25812,-31.373111,-0.05438
-1.145601,-31.373111,-0.053727
-1.056376,-31.373111,-0.051547
-0.898987,-31.373111,-0.048264
-0.730817,-31.452018,-0.044856
-0.557621,-31.452018,-0.042694
-0.368002,-31.452018,-0.042171
-0.19058,-31.452018,-0.042919
-0.099539,-31.452018,-0.044618
-0.11166,-31.452018,-0.046992
-0.255069,-31.373111,-0.049192
-0.454994,-31.373111,-0.049955
-0.694071,-31.373111,-0.048977
-0.955006,-31.452018,-0.047313
-1.26626,-31.373111,-0.045793
-1.450604,-31.452018,-0.04443
-1.519976,-31.373111,-0.04323
-1.583344,-31.373111,-0.041576
-1.697834,-31.452018,-0.039625
-1.783291,-31.452018,-0.038743
-1.834124,-31.373111,-0.038706
-1.79908,-31.373111,-0.038084
